번호,문항,답안,해설
1,"KT의 이익을 위해 협력사와 계약 체결 시 협력사(중소기업)의 이익을 침해, 제한하는 계약조건(부당한 특약)을 설정해도 문제 없다.",X,"수급사업자의 이익을 부당하게 침해, 제한하는 계약조건은 금지된다(부당 특약 금지)"
2,,,
3,서면에 기재되지 않은 추가공사 또는 계약사항 이외의 시공에 대한 비용을 협력사(중소 기업)가 부담한다는 약정은 부당 특약에 해당한다.,O,서면에 기재되지 아니한 추가공사 또는 계약사항 이외 시공부분에 대한 비용은 수급사업자가 부담한다는 약정은 부당 특약에 해당한다.
4,하도급 공사를 하는 도중에 발생하는 모든 민원을 협력사(중소기업)의 비용으로 처리하여야 한다는 약정은 계약서에 반영해도 무방하다.,X,하도급공사를 하는 도중에 발생하는 모든 민원을 수급사업자의 비용으로 처리하여야 한다는 약정은 부당 특약에 해당한다.
5,"협력사(중소기업)가 하도급공사 중에 발생하는 모든 산업재해에 대하여 전적으로 책임지며, 당사에 추가금액을 요구할 수 없다는 약정은 부당특약에 해당한다.",O,". 수급사업자는 하도급공사 중에 발생하는 모든 산업재해에 대하여 전적으로 책임지며, 산업재해사고 발생 및 처리를 이유로 원사업자에게 추가금액이나 공사기간연장을 요구할 수 없다는 약정은 부당특약에 해당한다."
6,시방서에 특별히 지정되지 않은 품목이라도 전체공사 시공에 필요하다고 인정되는 품목은 산출내역서에 포함된다' 라는 약정은 부당 특약에 해당하지 않는다.,X,시방서에 특별히 지정되지 않은 품목이라도 전체공사 시공에 필요하다고 인정되는 품목은 산출내역서에 포함된 것으로 본다는 약정은 부당 특약에 해당한다.
7,"관공서 및 관계기관에 대한 수속, 협조를 협력사(중소기업)의 책임 하에 행하고 그 소요 비용을 협력사(중소기업)가 부담한다는 약정은 부당특약에 해당하지 않는다.",X,"수급사업자는 하도급공사 진행중에 야기되는 관공서 및 관계기관(한국전력공사, 한국전기안전공사 등)에 대한 인,허가 수속, 각종 수검,협조업무를 수급사업자의 책임 하에 행하고 그 소요비용은 수급사업자가 일체 부담한다는 약정은 부당특약에 해당한다."
8, 당사의 작업내용의 변경으로 인한 경미한 추가공사에 소요되는 비용을 협력사(중소기업)가 부담한다는 약정은 부당특약에 해당한다.,X,수급사업자는 설계도면과 현장을 사전에 충분히 확인하고 하도급계약을 체결하였으므로 작업내용의 변경으로 경미한 공사가 발생하는 경우에 소요되는 비용을 원사업자에게 요청하지 못한다는 약정은 부당특약에 해당한다.
9,"고가 장비 및 자재의 분실, 훼손 등을 방지하기 위해 협력사(중소기업) 대표이사 개인의 연대보증을 요구하는 약정은 부당특약에 해당하지 않는다.",X,고가 사급재의 멸실/훼손 등을 방지하기 위해 수급사업자 대표이사 개인의 연대보증을 요구하는 약정은 부당특약에 해당한다.
10,협력사(중소기업)가 현장을 관리하는 경우 안전위해 요소의 제거에 관한 모든 비용을 협력사(중소기업)가 부담한다는 약정'은 부당특약에 해당한다.,O,수급사업자가 현장을 관리하는 경우 작업을 수행하는 과정에서 발생할 수 있는 안전위해요소의 제거에 관한 모든 비용을 수급사업자의 부담으로 한다는 약정은 부당특약에해당한다.
11,"계약 체결 시 당사의 지침이 교부된 경우, 계약서의 미기재 된 사항은 해당 지침을 따른다는 약정은 부당특약에 해당하지 않는다.",O,원사업자의 특정 규정 및 지침이 계약 체결 시 또는 계약 이전에 교부된 경우 하도급계약서에 기재되지 아니한 사항은 원사업자의 규정 또는 지침에 따라 정한다는 역정은 부당특약에 해당하지 않는다
12,"과업지시서 작성 시, 과업내용 외의 계약내용은 계약서 별지에 작성한다",O,"과업지시서 작성 시, 과업내용 외의 계약내용은 계약서 별지에 작성한다."
13,"과업지시서의 경우, 법률검토 면제 대상으로 별도 법률검토 받을 필요는 없다",X,"과업지시서 작성 시, 자체 판단이 불가한 경우 법률검토를 받아야 한다."
14,구축 시설에 대한 수량 및 규격은 과업지시서 상 과업내용에 해당한다.,O, 구축 시설에 대한 수량 및 규격은 과업지시서 상 과업내용에 해당한다.
15,인력운영에 대한 내용은 과업지시서 상 과업에 해당된다.,X, 인력운영은 계약 조건에 해당된다.
16,하자보수에 대한 내용은 전부 과업지시서 상 과업에 해당된다.,X,계약조건에 해당하는 내용 및 권리 의무를 규정하는 모든 사항은 계약내용에 해당함
17,"""주요 현안사항 및 kt의 서면보고 요구가 있을 시 수행한다""라는 문구는 과업에 해당한다.",X,해당문구는 계약조건에 해당하는 내용임
